Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI
Date,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,12182.5,,,,12222.2001953125,,,,12165.2998046875,,,,12202.150390625,,,,304100.0
2020-01-02,7604.2998046875,3257.85009765625,,12282.2001953125,7624.7998046875,3258.139892578125,,12289.900390625,7542.39990234375,3235.530029296875,,12195.25,7542.39990234375,3244.669921875,,12198.5498046875,482206700.0,3459930000.0,,407700.0
2020-01-03,7622.39990234375,3234.85009765625,,12226.650390625,7626.39990234375,3246.14990234375,,12265.599609375,7551.0,3222.340087890625,,12191.349609375,7604.2998046875,3226.360107421875,,12261.099609375,475628900.0,3484700000.0,,428800.0
2020-01-06,7575.2998046875,3246.280029296875,23204.859375,11993.0498046875,7622.39990234375,3246.840087890625,23365.359375,12179.099609375,7528.10009765625,3214.639892578125,23148.529296875,11974.2001953125,7622.39990234375,3217.550048828125,23319.759765625,12170.599609375,516783400.0,3702460000.0,72800000.0,396500.0
2020-01-07,7573.89990234375,3237.179931640625,23575.720703125,12052.9501953125,7604.60009765625,3244.909912109375,23577.439453125,12152.150390625,7562.10009765625,3232.429931640625,23299.919921875,12005.349609375,7575.2998046875,3241.860107421875,23320.119140625,12079.099609375,511576100.0,3435910000.0,64300000.0,447800.0
2020-01-08,7574.89990234375,3253.050048828125,23204.759765625,12025.349609375,7579.5,3267.070068359375,23303.2109375,12044.9501953125,7525.0,3236.669921875,22951.1796875,11929.599609375,7573.89990234375,3238.590087890625,23217.490234375,11939.099609375,606225000.0,3726840000.0,79400000.0,446000.0
2020-01-09,7598.10009765625,3274.699951171875,23739.869140625,12215.900390625,7627.7998046875,3275.580078125,23767.08984375,12224.0498046875,7574.89990234375,3263.669921875,23506.150390625,12132.5498046875,7574.89990234375,3266.030029296875,23530.2890625,12153.150390625,653838100.0,3641230000.0,62200000.0,477500.0
2020-01-10,7587.89990234375,3265.35009765625,23850.5703125,12256.7998046875,7632.0,3282.989990234375,23903.2890625,12311.2001953125,7585.10009765625,3260.860107421875,23761.080078125,12213.2001953125,7598.10009765625,3281.81005859375,23813.279296875,12271.0,651315600.0,3214580000.0,55900000.0,660600.0
2020-01-13,7617.60009765625,3288.1298828125,,12329.5498046875,7635.7998046875,3288.1298828125,,12337.75,7582.5,3268.429931640625,,12285.7998046875,7587.89990234375,3271.1298828125,,12296.7001953125,659019400.0,3459390000.0,,501000.0
2020-01-14,7622.39990234375,3283.14990234375,24025.169921875,12362.2998046875,7650.7001953125,3294.25,24059.859375,12374.25,7588.7998046875,3277.18994140625,23951.66015625,12308.7001953125,7617.60009765625,3285.35009765625,23969.0390625,12333.099609375,697648200.0,3687620000.0,64200000.0,616300.0
2020-01-15,7642.7998046875,3289.2900390625,23916.580078125,12343.2998046875,7642.7998046875,3298.659912109375,23997.390625,12355.150390625,7609.39990234375,3280.68994140625,23875.8203125,12278.75,7622.39990234375,3282.27001953125,23923.48046875,12349.400390625,730575200.0,3721490000.0,57200000.0,684400.0
2020-01-16,7609.7998046875,3316.81005859375,23933.130859375,12355.5,7653.60009765625,3317.110107421875,23975.380859375,12389.0498046875,7595.2998046875,3302.820068359375,23905.380859375,12315.7998046875,7642.7998046875,3302.969970703125,23960.19921875,12347.099609375,573564200.0,3540580000.0,55400000.0,395700.0
2020-01-17,7674.60009765625,3329.6201171875,24041.259765625,12352.349609375,7689.7001953125,3329.8798828125,24115.94921875,12385.4501953125,7609.7998046875,3318.860107421875,24013.75,12321.400390625,7609.7998046875,3323.659912109375,24103.44921875,12328.400390625,631970100.0,3726220000.0,59400000.0,502100.0
